date_from,date_to,name,venue,country,category,discipline,calendar,class,email,website,logo
2022-10-21,2022-10-23,Vuelta a Formosa Femenina,,ARG,WE,Road,AME,2.2,ariel.grun@hubtravel.com.ar,,
2022-10-22,2022-10-22,Road Elite Caribbean Championships - ME ITT,,DOM,ME,Road,AME,1.2,fdom.ciclismo@gmail.com,,
2022-10-22,2022-10-22,Road Elite Caribbean Championships - WE-WU ITT,,DOM,WE,Road,AME,1.2,fdom.ciclismo@gmail.com,,
2022-10-23,2022-10-23,Women's Road National Championships of Afghanistan,,AFG,,Road,ASI,CN,,,
2022-10-23,2022-10-23,Road Elite Caribbean Championships - ME/MU IRR,,DOM,ME,Road,AME,1.2,fdom.ciclismo@gmail.com,,
2022-10-23,2022-10-23,Road Elite Caribbean Championships - WE/WU IRR,,DOM,WE,Road,AME,1.2,fdom.ciclismo@gmail.com,,
2022-10-23,2022-10-23,National Road Championships - Japan (WE),,JPN,,Road,ASI,CN,cycling@japan-sports.or.jp,,
2022-10-23,2022-11-01,Vuelta a Guatemala,,GUA,ME,Road,AME,2.2,fciclismo.guatemala@gmail.com,www.fedeciclismogua.org,
2022-10-30,2022-10-30,Tour de France Prudential Singapore Criterium,,SIN,ME,Road,ASI,CRTP,race@singaporecriterium.com,www.singaporecriterium.com,
2022-11-03,2022-11-03,Grand Prix Sakia El Hamra,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,,
2022-11-05,2022-11-05,Grand Prix Oued Eddahab,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,,
2022-11-06,2022-11-06,Grand Prix Al Massira,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,,
2022-11-06,2022-11-06,TOUR DE FRANCE SAITAMA CRITERIUM,,JPN,ME,Road,ASI,CRTP,cycle-jigyou@saitamasc.jp,https://saitama-criterium.jp/,
2022-11-08,2022-11-08,Le Trophée Princier,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,,
2022-11-10,2022-11-10,Le Trophée de l'Anniversaire,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,,
2022-11-11,2022-11-11,Le Trophée de la Maison Royale,,MAR,ME,Road,AFR,1.2,frmc56@gmail.com,,
2022-11-11,2022-11-12,National Road Championships - Zimbabwe,,ZIM,,Road,AFR,CN,secretarygeneral@cyclingzimbabwe.org,www.cyclingzimbabwe.org,
2022-11-12,2022-11-19,Vuelta Ciclistica al Ecuador,,ECU,ME,Road,AME,2.2,secretaria@fec.ec,,
2022-11-13,2022-11-13,Tour de Okinawa,,JPN,ME,Road,ASI,1.2,contact@tour-de-okinawa.jp,www.tour-de-okinawa.jp,
2022-11-23,2022-11-23,Road Junior Caribbean Championships - MJ ITT,,DOM,MJ,Road,AME,1.2,fdom.ciclismo@gmail.com,,
2022-11-23,2022-11-23,Road Junior Caribbean Championships - WJ ITT,,DOM,WJ,Road,AME,1.2,fdom.ciclismo@gmail.com,,
2022-11-24,2022-11-24,Road Junior Caribbean Championships - WJ IRR,,DOM,WJ,Road,AME,1.2,fdom.ciclismo@gmail.com,,
